Epoch;Status;Reason;AvgHdgErr;MaxSpd;MaxAlt;Epsilon
0;[FAILED];Stagnation (No speed increase);7.98;201.2;10;0.8859
1;[FAILED];Course lost (Heading);3.82;166.6;369;0.8734
2;[FAILED];Course lost (Heading);12.86;100.0;13;0.8669
3;[FAILED];Stagnation (No speed increase);11.54;100.6;11;0.8605
4;[FAILED];Stagnation (No speed increase);5.19;153.0;9;0.8512
5;[FAILED];Course lost (Heading);16.49;129.1;9;0.8440
6;[FAILED];Stagnation (No speed increase);3.83;156.4;9;0.8345
7;[FAILED];Stagnation (No speed increase);3.30;201.3;10;0.8210
8;[FAILED];Stagnation (No speed increase);5.55;200.8;10;0.8076
9;[FAILED];Timeout;7.69;201.8;9;0.7941
10;[FAILED];Stagnation (No speed increase);9.12;145.7;9;0.7872
11;[FAILED];Course lost (Heading);12.13;148.5;9;0.7794
12;[FAILED];Course lost (Heading);5.87;152.0;9;0.7707
13;[FAILED];Course lost (Heading);16.41;98.1;9;0.7653
14;[FAILED];Stagnation (No speed increase);10.74;200.3;9;0.7537
15;[FAILED];Stagnation (No speed increase);4.93;159.5;9;0.7452
16;[FAILED];Course lost (Heading);8.87;67.8;9;0.7412
17;[FAILED];Course lost (Heading);17.90;4.9;9;0.7316
18;[FAILED];Course lost (Heading);10.65;83.1;9;0.7271
19;[FAILED];Stagnation (No speed increase);18.75;0.2;9;0.7183
20;[FAILED];Stagnation (No speed increase);3.60;128.8;9;0.7130
21;[FAILED];Crashed / Too low;0.00;0.0;0;0.7127
22;[FAILED];Course lost (Heading);9.29;31.3;9;0.7101
23;[FAILED];Course lost (Heading);6.27;191.3;335;0.6989
24;[FAILED];Course lost (Heading);8.16;59.3;9;0.6956
25;[FAILED];Course lost (Heading);9.67;51.2;9;0.6926
26;[FAILED];Timeout;11.21;191.6;11;0.6810
27;[FAILED];Timeout;9.67;194.5;298;0.6697
28;[FAILED];Course lost (Heading);12.45;190.3;9;0.6607
29;[FAILED];Course lost (Heading);12.67;163.5;117;0.6523
30;[FAILED];Timeout;16.69;187.7;291;0.6415
31;[FAILED];Runway Excursion (18.0m);3.58;67.5;9;0.6381
32;[FAILED];Runway Excursion (18.4m);4.22;54.1;9;0.7801
33;[FAILED];Runway Excursion (18.1m);2.88;74.5;9;0.7758
34;[FAILED];Runway Excursion (18.4m);3.92;58.7;9;0.7721
35;[FAILED];Runway Excursion (18.4m);3.09;69.0;9;0.7682
36;[FAILED];Runway Excursion (18.1m);3.38;69.3;9;0.7639
37;[FAILED];Runway Excursion (18.2m);3.32;65.4;9;0.7602
38;[FAILED];Runway Excursion (18.3m);3.23;85.3;9;0.7556
39;[FAILED];Runway Excursion (18.2m);3.30;63.6;9;0.7517
40;[FAILED];Runway Excursion (18.3m);5.56;49.9;9;0.7484
41;[FAILED];Runway Excursion (18.1m);3.69;65.5;9;0.7446
42;[FAILED];Runway Excursion (18.2m);5.11;48.1;9;0.7414
43;[FAILED];Runway Excursion (18.2m);3.81;62.4;9;0.7375
44;[FAILED];Runway Excursion (18.1m);4.06;54.7;9;0.7341
45;[FAILED];Runway Excursion (18.1m);4.83;51.3;9;0.7309
46;[FAILED];Runway Excursion (18.1m);5.11;49.6;9;0.7278
47;[FAILED];Runway Excursion (18.6m);4.51;51.7;9;0.7244
48;[FAILED];Runway Excursion (18.2m);3.62;58.8;9;0.7209
49;[FAILED];Runway Excursion (18.4m);4.96;47.8;9;0.7177
50;[FAILED];Course lost (Heading);22.88;142.6;9;0.7119
51;[FAILED];Runway Excursion (18.7m);5.10;47.7;9;0.7087
52;[FAILED];Runway Excursion (18.3m);3.31;64.5;9;0.7049
53;[FAILED];Runway Excursion (18.4m);4.57;56.3;9;0.7016
54;[FAILED];Runway Excursion (18.4m);4.26;56.1;9;0.6984
55;[FAILED];Runway Excursion (18.6m);2.98;71.8;9;0.4717
56;[FAILED];Runway Excursion (18.4m);4.98;53.3;9;0.4664
57;[FAILED];Runway Excursion (18.3m);4.57;56.5;9;0.4607
58;[FAILED];Runway Excursion (18.7m);5.33;85.4;9;0.4537
59;[FAILED];Runway Excursion (18.1m);7.43;39.8;9;0.4492
60;[FAILED];Course lost (Heading);12.67;56.1;9;0.4455
61;[FAILED];Runway Excursion (16.1m);5.24;44.8;9;0.4408
62;[FAILED];Runway Excursion (16.2m);6.31;42.0;9;0.4361
63;[FAILED];Runway Excursion (16.1m);6.20;42.8;9;0.4318
64;[FAILED];Runway Excursion (16.0m);5.33;46.4;9;0.4273
65;[FAILED];Runway Excursion (16.2m);5.27;47.4;9;0.6306
66;[FAILED];Runway Excursion (16.1m);4.06;58.5;9;0.6234
67;[FAILED];Runway Excursion (16.0m);2.70;70.1;9;0.6148
68;[FAILED];Runway Excursion (16.1m);4.62;48.7;9;0.6083
69;[FAILED];Runway Excursion (16.5m);4.48;54.7;9;0.6014
70;[FAILED];Course lost (Heading);15.57;127.1;849;0.5809
71;[FAILED];Runway Excursion (16.3m);4.89;49.6;9;0.5743
72;[FAILED];Runway Excursion (16.2m);7.85;37.1;9;0.5689
73;[FAILED];Runway Excursion (16.1m);2.76;66.2;9;0.5618
74;[FAILED];Runway Excursion (16.1m);5.49;42.3;9;0.5559
75;[FAILED];Runway Excursion (16.1m);5.93;44.4;9;0.5504
76;[FAILED];Runway Excursion (16.0m);4.70;48.3;9;0.5446
77;[FAILED];Runway Excursion (16.0m);2.07;78.5;9;0.5368
78;[FAILED];Runway Excursion (16.2m);5.86;43.2;9;0.5315
79;[FAILED];Runway Excursion (16.4m);2.58;81.4;9;0.5239
80;[FAILED];Runway Excursion (16.2m);2.73;80.8;9;0.5159
81;[FAILED];Runway Excursion (16.0m);2.22;89.8;9;0.5077
82;[FAILED];Runway Excursion (16.2m);2.40;148.7;10;0.4950
83;[FAILED];Runway Excursion (16.1m);2.67;77.9;9;0.4881
84;[FAILED];Runway Excursion (16.0m);3.60;79.1;9;0.4809
85;[FAILED];Crashed / Too low;0.00;0.0;0;0.4804
86;[FAILED];Runway Excursion (16.1m);2.36;83.3;10;0.4734
87;[FAILED];Runway Excursion (16.2m);1.46;108.3;9;0.4648
88;[FAILED];Runway Excursion (16.2m);1.87;92.3;9;0.4573
89;[FAILED];Runway Excursion (16.2m);2.03;78.8;10;0.4504
90;[FAILED];Timeout;7.47;173.7;1305;0.4321
91;[FAILED];Runway Excursion (14.0m);1.23;99.3;11;0.4246
92;[FAILED];Runway Excursion (14.0m);0.96;119.4;10;0.4162
93;[FAILED];Runway Excursion (14.2m);1.05;111.8;11;0.4083
94;[FAILED];Runway Excursion (14.1m);1.21;156.5;10;0.3981
95;[FAILED];Runway Excursion (20.0m);1.10;207.7;13;0.6131
96;[FAILED];Runway Excursion (14.0m);1.31;110.1;9;0.6014
97;[FAILED];Runway Excursion (14.1m);1.15;167.2;9;0.5846
98;[FAILED];Runway Excursion (14.0m);0.89;177.2;9;0.5673
99;[FAILED];Runway Excursion (14.1m);0.80;179.2;9;0.5505
100;[FAILED];Runway Excursion (14.1m);1.40;113.4;9;0.5399
101;[FAILED];Runway Excursion (14.5m);1.24;150.9;9;0.5261
102;[FAILED];Runway Excursion (14.1m);0.79;123.2;9;0.5154
103;[FAILED];Runway Excursion (14.2m);0.94;134.7;9;0.5038
104;[FAILED];Runway Excursion (14.1m);0.90;159.4;9;0.4906
105;[FAILED];Runway Excursion (14.1m);1.02;132.1;9;0.4802
106;[FAILED];Runway Excursion (14.1m);2.06;84.7;9;0.4732
107;[FAILED];Runway Excursion (14.1m);1.67;94.8;9;0.4655
108;[FAILED];Runway Excursion (14.0m);1.05;135.6;9;0.4552
109;[FAILED];Stagnation (No speed increase);0.79;112.4;9;0.4464
110;[FAILED];Stagnation (No speed increase);0.83;202.0;9;0.4320
111;[FAILED];Runway Excursion (14.1m);1.26;113.5;9;0.4239
112;[FAILED];Runway Excursion (14.2m);0.59;172.8;9;0.6185
113;[FAILED];Runway Excursion (14.0m);1.57;99.0;9;0.6083
114;[FAILED];Runway Excursion (14.0m);2.31;72.1;9;0.5997
115;[FAILED];Runway Excursion (14.1m);1.23;177.6;9;0.5814
116;[FAILED];Runway Excursion (14.1m);1.26;118.3;9;0.5703
117;[FAILED];Runway Excursion (14.0m);1.34;112.2;9;0.5593
118;[FAILED];Runway Excursion (14.1m);1.03;110.1;9;0.5490
119;[FAILED];Runway Excursion (14.0m);1.49;110.1;9;0.5389
120;[FAILED];Stagnation (No speed increase);0.49;202.1;9;0.5217
121;[FAILED];Runway Excursion (12.0m);0.30;189.0;9;0.5045
122;[FAILED];Runway Excursion (12.0m);1.04;127.5;9;0.4942
123;[FAILED];Runway Excursion (12.1m);1.00;128.4;9;0.4835
124;[FAILED];Runway Excursion (12.3m);1.94;160.7;9;0.4703
125;[FAILED];Runway Excursion (12.0m);1.14;117.0;9;0.4611
126;[FAILED];Runway Excursion (12.1m);1.01;129.5;9;0.4515
127;[FAILED];Timeout;3.57;120.9;1524;0.4331
128;[FAILED];Timeout;3.36;132.5;1496;0.4155
129;[FAILED];Runway Excursion (12.2m);0.54;181.7;9;0.6177
130;[FAILED];Stagnation (No speed increase);3.13;157.8;9;0.4049
131;[FAILED];Stagnation (No speed increase);0.50;202.4;10;0.3775
132;[FAILED];Runway Excursion (12.1m);2.42;64.5;9;0.3682
133;[FAILED];Runway Excursion (12.1m);1.06;129.5;9;0.3527
134;[FAILED];Runway Excursion (12.3m);1.82;68.6;9;0.3439
